c_bulk,occ_eq_900K,occ_rn_900K,occ_eq_700K,occ_rn_700K,ratio_rn_over_eq_900K
1.00e-09,6.065e-04,2.692e-01,1.920e-02,3.702e-01,443.8
3.87e-09,2.182e-03,2.942e-01,3.169e-02,3.905e-01,134.8
1.50e-08,6.758e-03,3.245e-01,5.124e-02,4.096e-01,48.0
5.82e-08,1.629e-02,3.564e-01,8.162e-02,4.336e-01,21.9
2.25e-07,3.197e-02,3.852e-01,1.198e-01,4.527e-01,12.0
8.73e-07,5.788e-02,4.114e-01,1.624e-01,4.616e-01,7.1
3.38e-06,9.810e-02,4.382e-01,2.132e-01,4.664e-01,4.5
1.31e-05,1.498e-01,4.566e-01,2.736e-01,4.746e-01,3.0
5.08e-05,2.128e-01,4.675e-01,3.376e-01,4.942e-01,2.2
1.97e-04,2.879e-01,4.830e-01,4.018e-01,5.257e-01,1.7
7.63e-04,3.679e-01,5.136e-01,4.606e-01,5.641e-01,1.4
2.96e-03,4.445e-01,5.592e-01,5.117e-01,6.115e-01,1.3
