structure,site,d_gb_A,nNi,nMo,nCr,nFe,E_TeGB_eV,E_Tebulk_eV,E_seg_eV
NiMoCrFe_S5_021_seed0_T900K_final.vasp,6,0.04,7,5,0,0,-867.558141,-866.895731,-0.662410
NiMoCrFe_S5_021_seed0_T900K_final.vasp,20,1.22,6,3,0,0,-867.603323,-866.895731,-0.707592
NiMoCrFe_S5_021_seed0_T900K_final.vasp,21,2.58,9,3,0,0,-867.792003,-866.895731,-0.896273
NiMoCrFe_S5_021_seed0_T900K_final.vasp,26,2.55,7,3,2,0,-867.432693,-866.895731,-0.536963
NiMoCrFe_S5_021_seed0_T900K_final.vasp,27,1.21,6,3,0,0,-867.310636,-866.895731,-0.414905
NiMoCrFe_S5_021_seed0_T900K_final.vasp,30,1.66,8,4,0,0,-867.220211,-866.895731,-0.324480
NiMoCrFe_S5_021_seed0_T900K_final.vasp,50,0.09,8,4,0,0,-867.766735,-866.895731,-0.871005
NiMoCrFe_S5_021_seed0_T900K_final.vasp,99,0.97,7,3,0,0,-867.286118,-866.895731,-0.390387
NiMoCrFe_S5_021_seed0_T900K_final.vasp,119,2.55,7,3,0,2,-866.716496,-866.895731,0.179235
NiMoCrFe_S5_021_seed0_T900K_final.vasp,120,0.94,8,4,0,0,-867.467593,-866.895731,-0.571862
NiMoCrFe_S5_021_seed1_T900K_final.vasp,6,0.11,7,3,2,0,-867.015346,-866.572687,-0.442659
NiMoCrFe_S5_021_seed1_T900K_final.vasp,14,1.37,10,1,0,0,-867.129114,-866.572687,-0.556427
NiMoCrFe_S5_021_seed1_T900K_final.vasp,20,0.80,10,0,0,0,-867.400696,-866.572687,-0.828009
NiMoCrFe_S5_021_seed1_T900K_final.vasp,21,2.60,8,0,4,0,-867.168252,-866.572687,-0.595565
NiMoCrFe_S5_021_seed1_T900K_final.vasp,26,2.19,10,2,0,0,-866.689718,-866.572687,-0.117031
NiMoCrFe_S5_021_seed1_T900K_final.vasp,27,1.02,7,0,3,0,-866.691257,-866.572687,-0.118570
NiMoCrFe_S5_021_seed1_T900K_final.vasp,50,0.13,9,2,0,0,-867.319601,-866.572687,-0.746914
NiMoCrFe_S5_021_seed1_T900K_final.vasp,99,1.15,6,3,0,0,-866.582556,-866.572687,-0.009869
NiMoCrFe_S5_021_seed1_T900K_final.vasp,100,2.71,7,3,2,0,-866.856787,-866.572687,-0.284099
NiMoCrFe_S5_021_seed1_T900K_final.vasp,119,2.52,8,3,1,0,-867.089727,-866.572687,-0.517040
