structure,site,d_gb_A,nNi,nMo,nCr,nFe,E_TeGB_eV,E_Tebulk_eV,E_seg_eV
NiMoCrFe_S5_021_seed0.vasp,6,0.00,10,2,0,0,-863.059957,-862.663413,-0.396544
NiMoCrFe_S5_021_seed0.vasp,14,1.56,9,2,0,0,-862.897301,-862.663413,-0.233887
NiMoCrFe_S5_021_seed0.vasp,20,1.02,7,3,0,0,-863.052843,-862.663413,-0.389430
NiMoCrFe_S5_021_seed0.vasp,21,2.48,9,3,0,0,-862.923075,-862.663413,-0.259662
NiMoCrFe_S5_021_seed0.vasp,26,2.41,11,1,0,0,-862.731381,-862.663413,-0.067968
NiMoCrFe_S5_021_seed0.vasp,27,1.10,7,3,0,0,-862.258351,-862.663413,0.405062
NiMoCrFe_S5_021_seed0.vasp,30,1.72,9,2,0,0,-862.876132,-862.663413,-0.212719
NiMoCrFe_S5_021_seed0.vasp,79,1.64,11,0,0,0,-863.019881,-862.663413,-0.356468
NiMoCrFe_S5_021_seed0.vasp,99,1.10,10,0,0,0,-863.255147,-862.663413,-0.591734
NiMoCrFe_S5_021_seed0.vasp,100,2.57,11,1,0,0,-862.587219,-862.663413,0.076194
NiMoCrFe_S5_021_seed0.vasp,119,2.49,12,0,0,0,-862.782206,-862.663413,-0.118793
NiMoCrFe_S5_021_seed0.vasp,120,1.18,7,3,0,0,-863.034767,-862.663413,-0.371354
NiMoCrFe_S5_021_seed1.vasp,0,1.64,7,1,0,3,-861.626557,-862.413301,0.786745
NiMoCrFe_S5_021_seed1.vasp,6,0.00,7,2,0,3,-861.819630,-862.413301,0.593671
NiMoCrFe_S5_021_seed1.vasp,14,1.56,11,0,0,0,-862.607520,-862.413301,-0.194219
NiMoCrFe_S5_021_seed1.vasp,20,1.02,10,0,0,0,-862.672597,-862.413301,-0.259296
NiMoCrFe_S5_021_seed1.vasp,21,2.48,7,2,1,2,-861.328431,-862.413301,1.084870
NiMoCrFe_S5_021_seed1.vasp,26,2.41,12,0,0,0,-862.543202,-862.413301,-0.129901
NiMoCrFe_S5_021_seed1.vasp,50,0.08,9,2,0,1,-862.453560,-862.413301,-0.040259
NiMoCrFe_S5_021_seed1.vasp,99,1.10,6,3,0,1,-861.386374,-862.413301,1.026927
NiMoCrFe_S5_021_seed1.vasp,119,2.49,7,5,0,0,-861.543870,-862.413301,0.869431
NiMoCrFe_S5_021_seed1.vasp,120,1.18,5,3,0,2,-861.613219,-862.413301,0.800082
NiMoCrFe_S5_021_seed2.vasp,0,1.64,3,6,0,2,-859.131278,-859.482296,0.351018
NiMoCrFe_S5_021_seed2.vasp,14,1.56,11,0,0,0,-861.327671,-859.482296,-1.845374
NiMoCrFe_S5_021_seed2.vasp,20,1.02,10,0,0,0,-861.774950,-859.482296,-2.292653
NiMoCrFe_S5_021_seed2.vasp,26,2.41,11,1,0,0,-860.757910,-859.482296,-1.275614
NiMoCrFe_S5_021_seed2.vasp,30,1.72,10,0,1,0,-861.258485,-859.482296,-1.776188
NiMoCrFe_S5_021_seed2.vasp,50,0.08,12,0,0,0,-862.024533,-859.482296,-2.542236
NiMoCrFe_S5_021_seed2.vasp,79,1.64,7,2,0,2,-860.057711,-859.482296,-0.575415
NiMoCrFe_S5_021_seed2.vasp,99,1.10,5,2,0,3,-859.722562,-859.482296,-0.240266
NiMoCrFe_S5_021_seed2.vasp,100,2.57,10,0,2,0,-860.515143,-859.482296,-1.032847
NiMoCrFe_S5_021_seed2.vasp,119,2.49,7,3,1,1,-860.472083,-859.482296,-0.989786
NiMoCrFe_S5_021_seed2.vasp,120,1.18,10,0,0,0,-861.714134,-859.482296,-2.231838
NiMoCrFe_S5_021_seed3.vasp,0,1.64,11,0,0,0,-862.905059,-861.405062,-1.499997
NiMoCrFe_S5_021_seed3.vasp,6,0.00,12,0,0,0,-863.385030,-861.405062,-1.979967
