structure,te_site,E_intact_eV,E_sep_eV,area_A2,Wsep_J_m2
NiMoCrFe_S5_021_seed0_T900K_final.vasp,,-871.109034,-868.679174,13.853,2.8103
NiMoCrFe_S5_021_seed1_T900K_final.vasp,,-870.673007,-868.957233,13.853,1.9844
NiMoCrFe_S5_021_seed2_T900K_final.vasp,,-870.779545,-868.760016,13.853,2.3357
NiMoCrFe_S5_021_seed3_T900K_final.vasp,,-870.724143,-869.186777,13.853,1.7781
NiMoCrFe_S5_021_seed4_T900K_final.vasp,,-870.427561,-868.451574,13.853,2.2854
NiMoCrFe_S5_021_seed0.vasp,,-866.270532,-864.391233,13.853,2.1735
NiMoCrFe_S5_021_seed1.vasp,,-865.763371,-864.074548,13.853,1.9532
NiMoCrFe_S5_021_seed2.vasp,,-864.473750,-862.617180,13.853,2.1472
NiMoCrFe_S5_021_seed3.vasp,,-865.903880,-864.362432,13.853,1.7828
NiMoCrFe_S5_021_seed4.vasp,,-863.467309,-861.808332,13.853,1.9187
NiMoCrFe_S5_021_seed0_T900K_final.vasp,50,-863.094083,-862.904606,13.853,0.2191
NiMoCrFe_S5_021_seed1_T900K_final.vasp,20,-867.400696,-868.329412,13.853,-1.0741
NiMoCrFe_S5_021_seed2_T900K_final.vasp,50,-866.508040,-867.940317,13.853,-1.6565
NiMoCrFe_S5_021_seed3_T900K_final.vasp,50,-867.330633,-868.580315,13.853,-1.4453
NiMoCrFe_S5_021_seed4_T900K_final.vasp,100,-866.560502,-864.461955,13.853,2.4271
NiMoCrFe_S5_021_seed0.vasp,20,-863.052843,-863.858547,13.853,-0.9318
NiMoCrFe_S5_021_seed1.vasp,20,-862.672597,-863.512995,13.853,-0.9720
NiMoCrFe_S5_021_seed2.vasp,50,-862.024533,-862.574408,13.853,-0.6360
NiMoCrFe_S5_021_seed3.vasp,20,-862.851374,-864.021761,13.853,-1.3536
NiMoCrFe_S5_021_seed4.vasp,30,-858.970158,-859.500333,13.853,-0.6132
